epgroup_name,epgroup_abbr,person_official_id,person_name,membership_type,start_date,end_date
Group of the European People's Party,EPP,97968,Andrey KOVATCHEV,Vice-Chair,2019-07-02,2022-01-24
Group of the European People's Party,EPP,97968,Andrey KOVATCHEV,Member,2022-01-25,
Identity and Democracy Group,ID,197481,Maximilian KRAH,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,124891,Zdzisław KRASNODĘBSKI,Member,2019-07-02,2019-11-20
European Conservatives and Reformists Group,ECR,124891,Zdzisław KRASNODĘBSKI,Member of the Bureau,2019-11-21,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,1854,Constanze KREHL,Member,2019-07-02,2022-10-02
European Conservatives and Reformists Group,ECR,197532,Elżbieta KRUK,Member,2019-07-02,
Group of the European People's Party,EPP,197843,Andrius KUBILIUS,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197395,Alice KUHNKE,Vice-Chair,2019-07-02,
Identity and Democracy Group,ID,197482,Joachim KUHS,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124735,Miapetra KUMPULA-NATRI,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,28389,Zbigniew KUŹMIUK,Member,2019-07-02,
Group of the European People's Party,EPP,197692,Stelios KYMPOUROPOULOS,Member,2019-07-02,
Group of the European People's Party,EPP,125063,Georgios KYRTSOS,Member,2019-07-02,2022-05-04
Renew Europe Group,RE,125063,Georgios KYRTSOS,Member,2022-05-05,
Renew Europe Group,RE,124866,Ilhan KYUCHYUK,Member,2019-07-02,
Identity and Democracy Group,ID,204421,Jean-Lin LACAPELLE,Member,2020-02-01,
Group of the Greens/European Free Alliance,Greens/EFA,197460,Sergey LAGODINSKY,Member,2019-07-02,
Non-attached Members,NI,197737,Ioannis LAGOS,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197697,Aurore LALUCQ,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,96648,Philippe LAMBERTS,Co-President,2019-07-02,2022-09-13
Group of the Greens/European Free Alliance,Greens/EFA,96648,Philippe LAMBERTS,Chair,2022-09-14,2022-10-12
Group of the Greens/European Free Alliance,Greens/EFA,96648,Philippe LAMBERTS,Co-President,2022-10-13,
Identity and Democracy Group,ID,192635,Danilo Oscar LANCINI,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,1909,Bernd LANGE,Vice-Chair,2019-07-02,2021-12-14
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,1909,Bernd LANGE,Member,2021-12-15,
Group of the European People's Party,EPP,38398,Esther de LANGE,Vice-Chair,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197461,Katrin LANGENSIEPEN,Member,2019-07-02,
Identity and Democracy Group,ID,197597,Hélène LAPORTE,Member,2019-07-02,2022-07-28
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197698,Pierre LARROUTUROU,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,230085,Camilla LAURETI,Member,2022-01-12,
Identity and Democracy Group,ID,124738,Gilles LEBRETON,Member,2019-07-02,
Identity and Democracy Group,ID,197686,Julie LECHANTEUX,Member,2019-07-02,2022-07-28
Group of the European People's Party,EPP,197393,David LEGA,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,96796,Ryszard Antoni LEGUTKO,Co-Chair,2019-07-02,2022-10-12
European Conservatives and Reformists Group,ECR,96796,Ryszard Antoni LEGUTKO,Chair,2022-10-13,2023-02-13
European Conservatives and Reformists Group,ECR,96796,Ryszard Antoni LEGUTKO,Co-Chair,2023-02-14,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197635,Maria-Manuel LEITÃO-MARQUES,Member,2019-07-02,
Group of the European People's Party,EPP,95074,Jeroen LENAERS,Member,2019-07-02,
Group of the European People's Party,EPP,23781,Janusz LEWANDOWSKI,Member,2019-07-02,
Group of the European People's Party,EPP,204336,Miriam LEXMANN,Member,2020-02-01,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,23768,Bogusław LIBERADZKI,Member,2019-07-02,
Group of the European People's Party,EPP,1927,Peter LIESE,Member,2019-07-02,
Identity and Democracy Group,ID,197483,Sylvia LIMMER,Member,2019-07-02,
Group of the European People's Party,EPP,124808,Norbert LINS,Member,2019-07-02,
Identity and Democracy Group,ID,197611,Elena LIZZI,Member,2019-07-02,
Renew Europe Group,RE,197494,Nathalie LOISEAU,Member,2019-07-02,
Renew Europe Group,RE,96709,Morten LØKKEGAARD,Vice-Chair,2019-07-02,
Renew Europe Group,RE,197816,Naomi LONG,Member,2019-07-02,2020-01-31
Non-attached Members,NI,197807,John LONGWORTH,Member,2019-07-02,2020-01-09
European Conservatives and Reformists Group,ECR,197807,John LONGWORTH,Member,2020-01-10,2020-01-31
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,125042,Javi LÓPEZ,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,96812,Juan Fernando LÓPEZ AGUILAR,Member,2019-07-02,
Group of the European People's Party,EPP,197777,Leopoldo LÓPEZ GIL,Member,2019-07-02,
Group of the European People's Party,EPP,28399,Antonio LÓPEZ-ISTÚRIZ WHITE,Member,2019-07-02,
Non-attached Members,NI,197759,Rupert LOWE,Member,2019-07-02,2020-01-31
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,228286,Karsten LUCKE,Member,2022-01-11,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197721,César LUENA,Member,2019-07-02,
Group of the European People's Party,EPP,96791,Elżbieta Katarzyna ŁUKACIJEWSKA,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,124996,Peter LUNDGREN,Vice-Chair,2019-07-02,2022-04-04
European Conservatives and Reformists Group,ECR,124996,Peter LUNDGREN,Member,2022-04-05,
Group of the European People's Party,EPP,197458,Benoît LUTGEN,Member,2019-07-02,
Group of the European People's Party,EPP,124806,David McALLISTER,Member,2019-07-02,
Group of the European People's Party,EPP,28115,Mairead McGUINNESS,Vice-Chair,2019-07-02,2019-09-16
Group of the European People's Party,EPP,28115,Mairead McGUINNESS,Member of the Bureau,2019-09-17,2020-10-11
European Conservatives and Reformists Group,ECR,111011,Anthea McINTYRE,Member,2019-07-02,2020-01-31
Group of the Greens/European Free Alliance,Greens/EFA,30490,Aileen McLEOD,Member,2019-07-02,2020-01-31
Non-attached Members,NI,205452,Chris MACMANUS,Member,2020-03-06,2020-03-08
Group of the European United Left,GUE/NGL,205452,Chris MACMANUS,Member,2020-03-09,2020-12-17
The Left group in the European Parliament,GUE/NGL,205452,Chris MACMANUS,Member,2020-12-18,
Identity and Democracy Group,ID,197493,Jaak MADISON,Treasurer,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197719,Cristina MAESTRE MARTÍN DE ALMAGRO,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197812,Magid MAGID,Member,2019-07-02,2020-01-31
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197592,Pierfrancesco MAJORINO,Member,2019-07-02,2023-04-04
Group of the European People's Party,EPP,197835,Aušra MALDEIKIENĖ,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197735,Adriana MALDONADO LÓPEZ,Member,2019-07-02,2023-08-16
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197653,Claudiu MANDA,Member,2019-07-02,
Group of the European People's Party,EPP,4560,Antonius MANDERS,Member,2019-07-02,
Group of the European People's Party,EPP,190713,Lukas MANDL,Member,2019-07-02,
Identity and Democracy Group,ID,197623,Thierry MARIANI,Member,2019-07-02,
Group of the European People's Party,EPP,33982,Marian-Jean MARINESCU,Member,2019-07-02,
Non-attached Members,NI,209896,Colm MARKEY,Member,2020-11-20,2020-11-23
Group of the European People's Party,EPP,209896,Colm MARKEY,Member,2020-11-24,
Group of the Greens/European Free Alliance,Greens/EFA,197462,Erik MARQUARDT,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197638,Margarida MARQUES,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197634,Pedro MARQUES,Member,2019-07-02,2021-12-15
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197634,Pedro MARQUES,Vice-Chair,2021-12-16,
Group of the European People's Party,EPP,124828,Fulvio MARTUSCIELLO,Member,2019-07-02,
Group of the European United Left,GUE/NGL,96820,Marisa MATIAS,Vice-Chair,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,96820,Marisa MATIAS,Vice-Chair,2020-12-18,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197441,Predrag Fred MATIĆ,Member,2019-07-02,
Group of the European People's Party,EPP,96936,Gabriel MATO,Member,2020-02-01,
Group of the Greens/European Free Alliance,Greens/EFA,208722,Sara MATTHIEU,Member,2020-10-08,
Group of the European United Left,GUE/NGL,24505,Emmanuel MAUREL,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,24505,Emmanuel MAUREL,Member,2020-12-18,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124691,Costas MAVRIDES,Member,2019-07-02,
Renew Europe Group,RE,197522,Radka MAXOVÁ,Member,2019-07-02,2021-03-23
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197522,Radka MAXOVÁ,Member,2021-03-24,
Group of the European People's Party,EPP,98341,Eva MAYDELL,Member,2019-07-02,
Identity and Democracy Group,ID,38511,Georg MAYER,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,197538,Beata MAZUREK,Member,2019-07-02,
Group of the European People's Party,EPP,197841,Liudas MAŽYLIS,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,204418,Nora MEBAREK,Member,2020-02-01,
Group of the European People's Party,EPP,197662,Vangelis MEIMARAKIS,Vice-Chair,2019-07-02,
European Conservatives and Reformists Group,ECR,130256,Dace MELBĀRDE,Member,2019-07-02,2022-09-06
Non-attached Members,NI,130256,Dace MELBĀRDE,Member,2022-09-07,2022-10-04
Group of the European People's Party,EPP,130256,Dace MELBĀRDE,Member,2022-10-05,
Renew Europe Group,RE,197567,Karen MELCHIOR,Member,2019-07-02,
Identity and Democracy Group,ID,124765,Joëlle MÉLIN,Member,2019-07-02,2022-07-28
Group of the European People's Party,EPP,96978,Nuno MELO,Member,2019-07-02,
The Left group in the European Parliament,GUE/NGL,236053,Marina MESURE,Member,2022-07-29,
Group of the European People's Party,EPP,118859,Roberta METSOLA,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,193292,Tilly METZ,Member,2019-07-02,
Identity and Democracy Group,ID,190518,Jörg MEUTHEN,Vice-Chair,2019-07-02,2022-02-13
Non-attached Members,NI,190518,Jörg MEUTHEN,Member,2022-02-14,
Group of the European United Left,GUE/NGL,120478,Martina MICHELS,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,120478,Martina MICHELS,Member,2020-12-18,
Renew Europe Group,RE,125128,Iskra MIHAYLOVA,Vice-Chair,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197497,Sven MIKSER,Member,2019-07-02,
Group of the European People's Party,EPP,197824,Giuseppe MILAZZO,Member,2019-07-02,2021-06-22
European Conservatives and Reformists Group,ECR,197824,Giuseppe MILAZZO,Member,2021-06-23,
Group of the European People's Party,EPP,28400,Francisco José MILLÁN MON,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197540,Leszek MILLER,Member,2019-07-02,
Identity and Democracy Group,ID,236051,Eric MINARDI,Member,2022-07-29,
Group of the Greens/European Free Alliance,Greens/EFA,24942,Ana MIRANDA,Member,2022-09-05,
Renew Europe Group,RE,212855,Alin MITUȚA,Member,2020-12-28,
European Conservatives and Reformists Group,ECR,189391,Baroness Nosheena MOBARIK,Member,2019-07-02,2020-01-31
Group of the European United Left,GUE/NGL,197805,Silvia MODIG,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,197805,Silvia MODIG,Member,2020-12-18,
Renew Europe Group,RE,197811,Shaffaq MOHAMMED,Member,2019-07-02,2020-01-31
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124722,Csaba MOLNÁR,Member,2019-07-02,
Group of the European People's Party,EPP,124734,Cláudia MONTEIRO DE AGUIAR,Member,2019-07-02,
Non-attached Members,NI,197704,Brian MONTEITH,Member,2019-07-02,2020-01-31
Group of the European People's Party,EPP,197711,Dolors MONTSERRAT,Member,2019-07-02,2023-09-12
Group of the European People's Party,EPP,197711,Dolors MONTSERRAT,Vice-Chair,2023-09-13,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,4519,Claude MORAES,Vice-Chair,2019-07-02,2020-01-31
Group of the European People's Party,EPP,72779,Nadine MORANO,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,28347,Javier MORENO SÁNCHEZ,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124799,Alessandra MORETTI,Member,2019-07-02,
Group of the European People's Party,EPP,197427,Marlene MORTLER,Member,2019-07-02,
Group of the European People's Party,EPP,197647,Dan-Ştefan MOTREANU,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,197541,Andżelika Anna MOŻDŻANOWSKA,Member,2019-07-02,
Renew Europe Group,RE,124862,Ulrike MÜLLER,Member,2019-07-02,
Non-attached Members,NI,197603,June Alison MUMMERY,Member,2019-07-02,2020-01-31
Group of the European People's Party,EPP,124802,Siegfried MUREŞAN,Vice-Chair,2019-07-02,
Group of the European People's Party,EPP,28429,Alessandra MUSSOLINI,Member,2022-11-02,
Renew Europe Group,RE,190519,Caroline NAGTEGAAL,Member,2019-07-02,
Renew Europe Group,RE,125005,Javier NART,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,88882,Victor NEGRESCU,Member,2020-02-01,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,233862,Matjaž NEMEC,Member,2022-05-18,
European Conservatives and Reformists Group,ECR,239260,Denis NESCI,Member,2022-11-02,
Renew Europe Group,RE,197604,Lucy NETHSINGHA,Member,2019-07-02,2020-01-31
Group of the Greens/European Free Alliance,Greens/EFA,197464,Hannah NEUMANN,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,96844,Norbert NEUSER,Member,2019-07-02,2022-01-10
Renew Europe Group,RE,1394,Bill NEWTON DUNN,Member,2019-07-02,2020-01-31
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124784,Dan NICA,Member,2019-07-02,
Group of the European People's Party,EPP,4289,Angelika NIEBLER,Member,2019-07-02,
Group of the European People's Party,EPP,124701,Luděk NIEDERMAYER,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197465,Niklas NIENASS,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197802,Ville NIINISTÖ,Member,2019-07-02,
Non-attached Members,NI,197734,Lefteris NIKOLAOU-ALAVANOS,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,238639,Johan NISSINEN,Member,2022-10-11,
Group of the European People's Party,EPP,202112,Gheorghe-Vlad NISTOR,Member,2019-12-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124836,Maria NOICHL,Member,2019-07-02,
Group of the European People's Party,EPP,28294,Ljudmila NOVAK,Member,2019-07-02,
Group of the European People's Party,EPP,107212,Andrey NOVAKOV,Member,2019-07-02,
Group of the European People's Party,EPP,197542,Janina OCHOJSKA,Member,2019-07-02,
Renew Europe Group,RE,197432,Jan-Christoph OETJEN,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,237779,Carina OHLSSON,Member,2022-09-26,
Group of the European People's Party,EPP,28288,Jan OLBRYCHT,Member,2019-07-02,2019-09-16
Group of the European People's Party,EPP,28288,Jan OLBRYCHT,Vice-Chair,2019-09-17,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197838,Juozas OLEKAS,Member,2019-07-02,
Identity and Democracy Group,ID,197687,Philippe OLIVIER,Member,2019-07-02,
Group of the European United Left,GUE/NGL,30482,Younous OMARJEE,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,30482,Younous OMARJEE,Member,2020-12-18,
Renew Europe Group,RE,234344,Max ORVILLE,Member,2022-05-20,
Group of the Greens/European Free Alliance,Greens/EFA,197889,Grace O'SULLIVAN,Member,2019-07-02,
Non-attached Members,NI,197712,Henrik OVERGAARD NIELSEN,Member,2019-07-02,2020-01-31
Renew Europe Group,RE,129073,Urmas PAET,Member,2019-07-02,
Renew Europe Group,RE,125038,Maite PAGAZAURTUNDÚA,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,190099,Rory PALMER,Member,2019-07-02,2020-01-31
Identity and Democracy Group,ID,99283,Alessandro PANZA,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124692,Demetris PAPADAKIS,Member,2019-07-02,
Non-attached Members,NI,125093,Kostas PAPADAKIS,Member,2019-07-02,
Group of the European United Left,GUE/NGL,28586,Dimitrios PAPADIMOULIS,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,28586,Dimitrios PAPADIMOULIS,Member,2020-12-18,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,244571,Nikos PAPANDREOU,Member,2023-05-03,
Group of the European People's Party,EPP,36392,Aldo PATRICIELLO,Member,2019-07-02,
Non-attached Members,NI,197620,Matthew PATTEN,Member,2019-07-02,2020-01-31
Group of the Greens/European Free Alliance,Greens/EFA,197466,Jutta PAULUS,Member,2019-07-02,
Non-attached Members,NI,124844,Piernicola PEDICINI,Member,2019-07-02,2020-12-08
Group of the Greens/European Free Alliance,Greens/EFA,124844,Piernicola PEDICINI,Member,2020-12-09,
Group of the European People's Party,EPP,197420,Kris PEETERS,Member,2019-07-02,2021-01-11
Renew Europe Group,RE,197563,Mauri PEKKARINEN,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197539,Mikuláš PEKSA,Member,2019-07-02,
Group of the European United Left,GUE/NGL,197527,Anne-Sophie PELLETIER,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,197527,Anne-Sophie PELLETIER,Member,2020-12-18,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197845,Tsvetelina PENKOVA,Member,2019-07-02,
Non-attached Members,NI,243979,Francesca PEPPUCCI,Member,2023-04-06,2023-04-19
Group of the European People's Party,EPP,243979,Francesca PEPPUCCI,Member,2023-04-20,
Group of the European United Left,GUE/NGL,197754,Sandra PEREIRA,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,197754,Sandra PEREIRA,Member,2020-12-18,
Group of the European People's Party,EPP,197738,Lídia PEREIRA,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197573,Kira Marie PETER-HANSEN,Member,2019-07-02,2022-01-10
Group of the Greens/European Free Alliance,Greens/EFA,197573,Kira Marie PETER-HANSEN,Vice-Chair,2022-01-11,
Renew Europe Group,RE,124872,Morten PETERSEN,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197710,Alexandra Louise Rosenfield PHILLIPS,Member,2019-07-02,2020-01-31
Non-attached Members,NI,99461,Alexandra Lesley PHILLIPS,Member,2019-07-02,2020-01-31
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124846,Pina PICIERNO,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,112744,Tonino PICULA,Member,2019-07-02,
Group of the European People's Party,EPP,28224,Markus PIEPER,Member,2019-07-02,
Group of the European People's Party,EPP,40599,Sirpa PIETIKÄINEN,Member,2019-07-02,
Non-attached Members,NI,197619,Sabrina PIGNEDOLI,Member,2019-07-02,
The Left group in the European Parliament,GUE/NGL,136236,João PIMENTA LOPES,Member,2021-07-06,
Group of the European United Left,GUE/NGL,197828,Manu PINEDA,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,197828,Manu PINEDA,Member,2020-12-18,
Identity and Democracy Group,ID,197629,Maxette PIRBAKAS,Member,2019-07-02,2022-02-01
Non-attached Members,NI,197629,Maxette PIRBAKAS,Member,2022-02-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,37229,Kati PIRI,Vice-Chair,2019-07-02,2021-03-30
European Conservatives and Reformists Group,ECR,204414,Margarita DE LA PISA CARRIÓN,Member,2020-02-01,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197590,Giuliano PISAPIA,Member,2019-07-02,
Renew Europe Group,RE,197663,Dragoş PÎSLARU,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197732,Manuel PIZARRO,Member,2019-07-02,2022-09-09
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,38595,Rovana PLUMB,Vice-Chair,2019-07-02,
Group of the European People's Party,EPP,124704,Stanislav POLČÁK,Member,2019-07-02,
Group of the European People's Party,EPP,197404,Jessica POLFJÄRD,Member,2019-07-02,
Group of the European People's Party,EPP,197765,Peter POLLÁK,Member,2019-07-02,
Non-attached Members,NI,204443,Clara PONSATÍ OBIOLS,Member,2020-02-01,
Renew Europe Group,RE,237320,Eva Maria POPTCHEVA,Member,2022-09-15,
European Conservatives and Reformists Group,ECR,96801,Tomasz Piotr PORĘBA,Member of the Bureau,2019-07-02,
Renew Europe Group,RE,197700,Luisa PORRITT,Member,2019-07-02,2020-01-31
Group of the European People's Party,EPP,125706,Jiří POSPÍŠIL,Member,2019-07-02,
Renew Europe Group,RE,239972,Erik POULSEN,Member,2022-11-22,
European Conservatives and Reformists Group,ECR,197820,Nicola PROCACCINI,Member,2019-07-02,2023-02-13
European Conservatives and Reformists Group,ECR,197820,Nicola PROCACCINI,Co-Chair,2023-02-14,
Non-attached Members,NI,197813,Jake PUGH,Member,2019-07-02,2020-01-31
Non-attached Members,NI,202351,Carles PUIGDEMONT I CASAMAJÓ,Member,2019-07-02,
Non-attached Members,NI,197764,Miroslav RADAČOVSKÝ,Member,2019-07-02,
Group of the European People's Party,EPP,124850,Emil RADEV,Member,2019-07-02,
Group of the European People's Party,EPP,188945,Dennis RADTKE,Member,2019-07-02,
Renew Europe Group,RE,197868,Samira RAFAELA,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,197544,Elżbieta RAFALSKA,Member,2019-07-02,
Group of the European People's Party,EPP,96903,Paulo RANGEL,Vice-Chair,2019-07-02,
Renew Europe Group,RE,239973,Bergur Løkke RASMUSSEN,Member,2022-11-22,
Non-attached Members,NI,197612,Annunziata Mary REES-MOGG,Member,2019-07-02,2020-01-09
European Conservatives and Reformists Group,ECR,197612,Annunziata Mary REES-MOGG,Member,2020-01-10,2020-01-31
Identity and Democracy Group,ID,197790,Luisa REGIMENTI,Member,2019-07-02,2021-06-20
Non-attached Members,NI,197790,Luisa REGIMENTI,Member,2021-06-21,2021-07-07
Group of the European People's Party,EPP,197790,Luisa REGIMENTI,Member,2021-07-08,2023-04-03
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,96998,Evelyn REGNER,Member,2019-07-02,
Group of the European United Left,GUE/NGL,197681,Sira REGO,Member,2019-07-02,2019-07-17
Group of the European United Left,GUE/NGL,197681,Sira REGO,Vice-Chair,2019-07-18,2020-12-17
